shot_attempted_flag,game_id,period,defender_name,shot_type,defense_category,makes,misses
1,22400251,1,Amir Coffey,2pt,Less Than 6 Ft,3,0
1,22400251,1,Amir Coffey,3pt,Greater Than 15 Ft,1,0
1,22400251,1,Andrew Wiggins,2pt,10-15 Ft,0,2
1,22400251,1,Andrew Wiggins,2pt,Greater Than 15 Ft,1,0
1,22400251,1,Andrew Wiggins,2pt,Less Than 6 Ft,2,3
1,22400251,1,Andrew Wiggins,3pt,Greater Than 15 Ft,4,2
1,22400251,1,Brandin Podziemski,2pt,10-15 Ft,0,1
1,22400251,1,Brandin Podziemski,2pt,Less Than 10 Ft,0,1
1,22400251,1,Brandin Podziemski,2pt,Less Than 6 Ft,1,1
1,22400251,1,Brandin Podziemski,3pt,Greater Than 15 Ft,0,2
1,22400251,1,Buddy Hield,2pt,10-15 Ft,2,2
1,22400251,1,Buddy Hield,2pt,Less Than 10 Ft,0,2
1,22400251,1,Buddy Hield,2pt,Less Than 6 Ft,1,1
1,22400251,1,Buddy Hield,3pt,Greater Than 15 Ft,0,2
1,22400251,1,Derrick Jones Jr.,2pt,10-15 Ft,0,1
1,22400251,1,Derrick Jones Jr.,2pt,Less Than 10 Ft,0,1
1,22400251,1,Derrick Jones Jr.,2pt,Less Than 6 Ft,1,2
1,22400251,1,Derrick Jones Jr.,3pt,Greater Than 15 Ft,3,6
1,22400251,1,Draymond Green,2pt,10-15 Ft,2,3
1,22400251,1,Draymond Green,2pt,Greater Than 15 Ft,1,0
1,22400251,1,Draymond Green,2pt,Less Than 10 Ft,0,1
1,22400251,1,Draymond Green,2pt,Less Than 6 Ft,2,3
1,22400251,1,Draymond Green,3pt,Greater Than 15 Ft,4,2
1,22400251,1,Gary Payton II,2pt,10-15 Ft,2,2
1,22400251,1,Gary Payton II,2pt,Less Than 10 Ft,0,1
1,22400251,1,Gary Payton II,2pt,Less Than 6 Ft,0,1
1,22400251,1,Gary Payton II,3pt,Greater Than 15 Ft,2,0
1,22400251,1,Ivica Zubac,2pt,10-15 Ft,0,1
1,22400251,1,Ivica Zubac,2pt,Less Than 10 Ft,0,1
1,22400251,1,Ivica Zubac,2pt,Less Than 6 Ft,1,2
1,22400251,1,Ivica Zubac,3pt,Greater Than 15 Ft,3,6
1,22400251,1,James Harden,2pt,10-15 Ft,0,1
1,22400251,1,James Harden,2pt,Less Than 10 Ft,0,1
1,22400251,1,James Harden,2pt,Less Than 6 Ft,4,2
1,22400251,1,James Harden,3pt,Greater Than 15 Ft,4,6
1,22400251,1,Jonathan Kuminga,2pt,10-15 Ft,2,2
1,22400251,1,Jonathan Kuminga,2pt,Less Than 10 Ft,0,2
1,22400251,1,Jonathan Kuminga,2pt,Less Than 6 Ft,1,1
1,22400251,1,Jonathan Kuminga,3pt,Greater Than 15 Ft,0,2
1,22400251,1,Kevin Porter Jr.,2pt,Less Than 6 Ft,3,0
1,22400251,1,Kevin Porter Jr.,3pt,Greater Than 15 Ft,1,0
1,22400251,1,Kris Dunn,2pt,10-15 Ft,0,1
1,22400251,1,Kris Dunn,2pt,Less Than 10 Ft,0,1
1,22400251,1,Kris Dunn,2pt,Less Than 6 Ft,1,2
1,22400251,1,Kris Dunn,3pt,Greater Than 15 Ft,3,6
1,22400251,1,Kyle Anderson,2pt,10-15 Ft,0,1
1,22400251,1,Kyle Anderson,2pt,Less Than 10 Ft,0,1
1,22400251,1,Kyle Anderson,2pt,Less Than 6 Ft,1,1
1,22400251,1,Kyle Anderson,3pt,Greater Than 15 Ft,0,2
1,22400251,1,Lindy Waters III,2pt,10-15 Ft,0,2
1,22400251,1,Lindy Waters III,2pt,Greater Than 15 Ft,1,0
1,22400251,1,Lindy Waters III,2pt,Less Than 6 Ft,2,3
1,22400251,1,Lindy Waters III,3pt,Greater Than 15 Ft,4,2
1,22400251,1,Mo Bamba,2pt,Less Than 6 Ft,3,0
1,22400251,1,Mo Bamba,3pt,Greater Than 15 Ft,1,0
1,22400251,1,Moses Moody,2pt,10-15 Ft,0,1
1,22400251,1,Moses Moody,2pt,Less Than 10 Ft,0,1
1,22400251,1,Moses Moody,2pt,Less Than 6 Ft,1,1
1,22400251,1,Moses Moody,3pt,Greater Than 15 Ft,0,2
1,22400251,1,Nicolas Batum,2pt,Less Than 6 Ft,3,0
1,22400251,1,Nicolas Batum,3pt,Greater Than 15 Ft,1,0
1,22400251,1,Norman Powell,2pt,10-15 Ft,0,1
1,22400251,1,Norman Powell,2pt,Less Than 10 Ft,0,1
1,22400251,1,Norman Powell,2pt,Less Than 6 Ft,1,2
1,22400251,1,Norman Powell,3pt,Greater Than 15 Ft,3,6
1,22400251,1,Stephen Curry,2pt,10-15 Ft,2,3
1,22400251,1,Stephen Curry,2pt,Greater Than 15 Ft,1,0
1,22400251,1,Stephen Curry,2pt,Less Than 10 Ft,0,1
1,22400251,1,Stephen Curry,2pt,Less Than 6 Ft,2,3
1,22400251,1,Stephen Curry,3pt,Greater Than 15 Ft,4,2
1,22400251,1,Trayce Jackson-Davis,2pt,10-15 Ft,0,1
1,22400251,1,Trayce Jackson-Davis,2pt,Greater Than 15 Ft,1,0
1,22400251,1,Trayce Jackson-Davis,2pt,Less Than 6 Ft,2,2
1,22400251,1,Trayce Jackson-Davis,3pt,Greater Than 15 Ft,2,2
1,22400251,2,Amir Coffey,2pt,Greater Than 15 Ft,1,0
1,22400251,2,Amir Coffey,2pt,Less Than 10 Ft,1,0
1,22400251,2,Amir Coffey,2pt,Less Than 6 Ft,3,0
1,22400251,2,Amir Coffey,3pt,Greater Than 15 Ft,1,7
1,22400251,2,Andrew Wiggins,2pt,10-15 Ft,0,1
1,22400251,2,Andrew Wiggins,2pt,Less Than 6 Ft,2,2
1,22400251,2,Andrew Wiggins,3pt,Greater Than 15 Ft,3,1
1,22400251,2,Brandin Podziemski,2pt,10-15 Ft,1,0
1,22400251,2,Brandin Podziemski,2pt,Less Than 10 Ft,0,2
1,22400251,2,Brandin Podziemski,2pt,Less Than 6 Ft,1,2
1,22400251,2,Brandin Podziemski,3pt,Greater Than 15 Ft,2,2
1,22400251,2,Buddy Hield,2pt,10-15 Ft,1,0
1,22400251,2,Buddy Hield,2pt,Less Than 10 Ft,0,2
1,22400251,2,Buddy Hield,2pt,Less Than 6 Ft,0,1
1,22400251,2,Buddy Hield,3pt,Greater Than 15 Ft,2,1
1,22400251,2,Derrick Jones Jr.,2pt,10-15 Ft,0,1
1,22400251,2,Derrick Jones Jr.,2pt,Less Than 10 Ft,0,1
1,22400251,2,Derrick Jones Jr.,2pt,Less Than 6 Ft,1,1
1,22400251,2,Derrick Jones Jr.,3pt,Greater Than 15 Ft,2,1
1,22400251,2,Draymond Green,2pt,10-15 Ft,0,1
1,22400251,2,Draymond Green,2pt,Less Than 6 Ft,3,2
1,22400251,2,Draymond Green,3pt,Greater Than 15 Ft,3,2
1,22400251,2,Gary Payton II,2pt,Less Than 6 Ft,2,0
1,22400251,2,Gary Payton II,3pt,Greater Than 15 Ft,0,1
1,22400251,2,Ivica Zubac,2pt,10-15 Ft,0,1
1,22400251,2,Ivica Zubac,2pt,Greater Than 15 Ft,1,0
1,22400251,2,Ivica Zubac,2pt,Less Than 10 Ft,1,1
1,22400251,2,Ivica Zubac,2pt,Less Than 6 Ft,3,1
1,22400251,2,Ivica Zubac,3pt,Greater Than 15 Ft,3,8
1,22400251,2,James Harden,2pt,10-15 Ft,0,1
1,22400251,2,James Harden,2pt,Greater Than 15 Ft,1,0
1,22400251,2,James Harden,2pt,Less Than 10 Ft,0,1
1,22400251,2,James Harden,2pt,Less Than 6 Ft,3,1
1,22400251,2,James Harden,3pt,Greater Than 15 Ft,2,4
1,22400251,2,Jonathan Kuminga,2pt,10-15 Ft,1,0
1,22400251,2,Jonathan Kuminga,2pt,Less Than 10 Ft,0,2
1,22400251,2,Jonathan Kuminga,2pt,Less Than 6 Ft,3,2
1,22400251,2,Jonathan Kuminga,3pt,Greater Than 15 Ft,2,3
1,22400251,2,Kevin Porter Jr.,2pt,Less Than 10 Ft,1,0
1,22400251,2,Kevin Porter Jr.,2pt,Less Than 6 Ft,1,0
1,22400251,2,Kevin Porter Jr.,3pt,Greater Than 15 Ft,1,4
1,22400251,2,Kris Dunn,2pt,10-15 Ft,0,1
1,22400251,2,Kris Dunn,2pt,Less Than 10 Ft,0,1
1,22400251,2,Kris Dunn,2pt,Less Than 6 Ft,1,1
1,22400251,2,Kris Dunn,3pt,Greater Than 15 Ft,2,1
1,22400251,2,Kyle Anderson,2pt,10-15 Ft,1,0
1,22400251,2,Kyle Anderson,2pt,Less Than 10 Ft,0,1
1,22400251,2,Kyle Anderson,2pt,Less Than 6 Ft,1,0
1,22400251,2,Kyle Anderson,3pt,Greater Than 15 Ft,1,1
1,22400251,2,Lindy Waters III,2pt,10-15 Ft,0,1
1,22400251,2,Lindy Waters III,2pt,Less Than 6 Ft,5,3
1,22400251,2,Lindy Waters III,3pt,Greater Than 15 Ft,3,3
1,22400251,2,Mo Bamba,2pt,Less Than 6 Ft,1,0
1,22400251,2,Moses Moody,2pt,10-15 Ft,1,0
1,22400251,2,Moses Moody,2pt,Less Than 10 Ft,0,2
1,22400251,2,Moses Moody,2pt,Less Than 6 Ft,1,2
1,22400251,2,Moses Moody,3pt,Greater Than 15 Ft,2,2
1,22400251,2,Nicolas Batum,2pt,Greater Than 15 Ft,1,0
1,22400251,2,Nicolas Batum,2pt,Less Than 10 Ft,1,0
1,22400251,2,Nicolas Batum,2pt,Less Than 6 Ft,3,0
1,22400251,2,Nicolas Batum,3pt,Greater Than 15 Ft,1,7
1,22400251,2,Norman Powell,2pt,10-15 Ft,0,1
1,22400251,2,Norman Powell,2pt,Less Than 10 Ft,0,1
1,22400251,2,Norman Powell,2pt,Less Than 6 Ft,1,1
1,22400251,2,Norman Powell,3pt,Greater Than 15 Ft,2,1
1,22400251,2,Stephen Curry,2pt,10-15 Ft,0,1
1,22400251,2,Stephen Curry,2pt,Less Than 6 Ft,4,2
1,22400251,2,Stephen Curry,3pt,Greater Than 15 Ft,3,2
1,22400251,2,Terance Mann,2pt,Greater Than 15 Ft,1,0
1,22400251,2,Terance Mann,2pt,Less Than 10 Ft,1,0
1,22400251,2,Terance Mann,2pt,Less Than 6 Ft,3,0
1,22400251,2,Terance Mann,3pt,Greater Than 15 Ft,1,7
1,22400251,2,Trayce Jackson-Davis,2pt,10-15 Ft,0,1
1,22400251,2,Trayce Jackson-Davis,2pt,Less Than 10 Ft,0,1
1,22400251,2,Trayce Jackson-Davis,2pt,Less Than 6 Ft,3,4
1,22400251,2,Trayce Jackson-Davis,3pt,Greater Than 15 Ft,4,2
1,22400251,3,Amir Coffey,2pt,Greater Than 15 Ft,0,1
1,22400251,3,Amir Coffey,2pt,Less Than 10 Ft,0,1
1,22400251,3,Amir Coffey,2pt,Less Than 6 Ft,2,1
1,22400251,3,Amir Coffey,3pt,Greater Than 15 Ft,2,5
1,22400251,3,Andrew Wiggins,2pt,10-15 Ft,0,1
1,22400251,3,Andrew Wiggins,2pt,Less Than 10 Ft,2,1
1,22400251,3,Andrew Wiggins,2pt,Less Than 6 Ft,1,4
1,22400251,3,Andrew Wiggins,3pt,Greater Than 15 Ft,2,3
1,22400251,3,Brandin Podziemski,2pt,10-15 Ft,1,0
1,22400251,3,Brandin Podziemski,2pt,Less Than 6 Ft,0,2
1,22400251,3,Brandin Podziemski,3pt,Greater Than 15 Ft,0,2
1,22400251,3,Buddy Hield,2pt,10-15 Ft,1,1
1,22400251,3,Buddy Hield,2pt,Less Than 6 Ft,0,3
1,22400251,3,Buddy Hield,3pt,Greater Than 15 Ft,0,3
1,22400251,3,Derrick Jones Jr.,2pt,10-15 Ft,0,1
1,22400251,3,Derrick Jones Jr.,2pt,Less Than 10 Ft,0,1
1,22400251,3,Derrick Jones Jr.,2pt,Less Than 6 Ft,4,1
1,22400251,3,Derrick Jones Jr.,3pt,Greater Than 15 Ft,4,6
1,22400251,3,Draymond Green,2pt,10-15 Ft,0,1
1,22400251,3,Draymond Green,2pt,Less Than 10 Ft,2,1
1,22400251,3,Draymond Green,2pt,Less Than 6 Ft,1,4
1,22400251,3,Draymond Green,3pt,Greater Than 15 Ft,2,3
1,22400251,3,Gary Payton II,2pt,10-15 Ft,1,1
1,22400251,3,Gary Payton II,2pt,Less Than 6 Ft,0,3
1,22400251,3,Gary Payton II,3pt,Greater Than 15 Ft,0,3
1,22400251,3,Ivica Zubac,2pt,10-15 Ft,0,1
1,22400251,3,Ivica Zubac,2pt,Less Than 10 Ft,0,1
1,22400251,3,Ivica Zubac,2pt,Less Than 6 Ft,2,1
1,22400251,3,Ivica Zubac,3pt,Greater Than 15 Ft,4,3
1,22400251,3,James Harden,2pt,10-15 Ft,0,1
1,22400251,3,James Harden,2pt,Greater Than 15 Ft,0,1
1,22400251,3,James Harden,2pt,Less Than 10 Ft,0,2
1,22400251,3,James Harden,2pt,Less Than 6 Ft,4,2
1,22400251,3,James Harden,3pt,Greater Than 15 Ft,6,8
1,22400251,3,Jonathan Kuminga,2pt,10-15 Ft,1,0
1,22400251,3,Jonathan Kuminga,2pt,Less Than 6 Ft,0,2
1,22400251,3,Jonathan Kuminga,3pt,Greater Than 15 Ft,0,2
1,22400251,3,Kevin Porter Jr.,2pt,Greater Than 15 Ft,0,1
1,22400251,3,Kevin Porter Jr.,2pt,Less Than 10 Ft,0,1
1,22400251,3,Kevin Porter Jr.,2pt,Less Than 6 Ft,2,1
1,22400251,3,Kevin Porter Jr.,3pt,Greater Than 15 Ft,2,5
1,22400251,3,Kris Dunn,2pt,10-15 Ft,0,1
1,22400251,3,Kris Dunn,2pt,Less Than 10 Ft,0,1
1,22400251,3,Kris Dunn,2pt,Less Than 6 Ft,2,1
1,22400251,3,Kris Dunn,3pt,Greater Than 15 Ft,4,3
1,22400251,3,Kyle Anderson,2pt,10-15 Ft,1,0
1,22400251,3,Kyle Anderson,2pt,Less Than 6 Ft,0,2
1,22400251,3,Kyle Anderson,3pt,Greater Than 15 Ft,0,2
1,22400251,3,Lindy Waters III,2pt,Less Than 10 Ft,2,1
1,22400251,3,Lindy Waters III,2pt,Less Than 6 Ft,1,3
1,22400251,3,Lindy Waters III,3pt,Greater Than 15 Ft,2,2
1,22400251,3,Mo Bamba,2pt,Less Than 6 Ft,2,1
1,22400251,3,Mo Bamba,3pt,Greater Than 15 Ft,1,3
1,22400251,3,Nicolas Batum,2pt,Greater Than 15 Ft,0,1
1,22400251,3,Nicolas Batum,2pt,Less Than 10 Ft,0,1
1,22400251,3,Nicolas Batum,2pt,Less Than 6 Ft,0,1
1,22400251,3,Nicolas Batum,3pt,Greater Than 15 Ft,2,2
1,22400251,3,Norman Powell,2pt,10-15 Ft,0,1
1,22400251,3,Norman Powell,2pt,Less Than 10 Ft,0,1
1,22400251,3,Norman Powell,2pt,Less Than 6 Ft,2,1
1,22400251,3,Norman Powell,3pt,Greater Than 15 Ft,4,3
1,22400251,3,Stephen Curry,2pt,10-15 Ft,0,1
1,22400251,3,Stephen Curry,2pt,Less Than 10 Ft,2,1
1,22400251,3,Stephen Curry,2pt,Less Than 6 Ft,1,4
1,22400251,3,Stephen Curry,3pt,Greater Than 15 Ft,2,3
1,22400251,3,Terance Mann,2pt,Greater Than 15 Ft,0,1
1,22400251,3,Terance Mann,2pt,Less Than 10 Ft,0,1
1,22400251,3,Terance Mann,3pt,Greater Than 15 Ft,1,2
1,22400251,3,Trayce Jackson-Davis,2pt,Less Than 10 Ft,2,1
1,22400251,3,Trayce Jackson-Davis,2pt,Less Than 6 Ft,1,3
1,22400251,3,Trayce Jackson-Davis,3pt,Greater Than 15 Ft,2,2
1,22400251,4,Amir Coffey,2pt,10-15 Ft,0,1
1,22400251,4,Amir Coffey,2pt,Less Than 10 Ft,0,1
1,22400251,4,Amir Coffey,2pt,Less Than 6 Ft,7,4
1,22400251,4,Amir Coffey,3pt,Greater Than 15 Ft,3,6
1,22400251,4,Andrew Wiggins,2pt,10-15 Ft,0,1
1,22400251,4,Andrew Wiggins,2pt,Less Than 10 Ft,0,1
1,22400251,4,Andrew Wiggins,2pt,Less Than 6 Ft,1,0
1,22400251,4,Andrew Wiggins,3pt,Greater Than 15 Ft,4,4
1,22400251,4,Brandin Podziemski,2pt,10-15 Ft,0,1
1,22400251,4,Brandin Podziemski,2pt,Less Than 6 Ft,2,1
1,22400251,4,Brandin Podziemski,3pt,Greater Than 15 Ft,1,1
1,22400251,4,Buddy Hield,2pt,10-15 Ft,0,2
1,22400251,4,Buddy Hield,2pt,Less Than 10 Ft,0,1
1,22400251,4,Buddy Hield,2pt,Less Than 6 Ft,3,1
1,22400251,4,Buddy Hield,3pt,Greater Than 15 Ft,3,5
1,22400251,4,Derrick Jones Jr.,2pt,Less Than 10 Ft,0,1
1,22400251,4,Derrick Jones Jr.,2pt,Less Than 6 Ft,2,1
1,22400251,4,Derrick Jones Jr.,3pt,Greater Than 15 Ft,1,0
1,22400251,4,Draymond Green,2pt,10-15 Ft,0,1
1,22400251,4,Draymond Green,2pt,Less Than 10 Ft,0,1
1,22400251,4,Draymond Green,2pt,Less Than 6 Ft,1,0
1,22400251,4,Draymond Green,3pt,Greater Than 15 Ft,4,4
1,22400251,4,Ivica Zubac,2pt,10-15 Ft,0,1
1,22400251,4,Ivica Zubac,2pt,Less Than 6 Ft,5,3
1,22400251,4,Ivica Zubac,3pt,Greater Than 15 Ft,2,6
1,22400251,4,James Harden,2pt,Less Than 10 Ft,0,1
1,22400251,4,James Harden,2pt,Less Than 6 Ft,5,2
1,22400251,4,James Harden,3pt,Greater Than 15 Ft,3,4
1,22400251,4,Jonathan Kuminga,2pt,10-15 Ft,0,1
1,22400251,4,Jonathan Kuminga,2pt,Less Than 6 Ft,2,1
1,22400251,4,Jonathan Kuminga,3pt,Greater Than 15 Ft,1,1
1,22400251,4,Kevin Porter Jr.,2pt,10-15 Ft,0,1
1,22400251,4,Kevin Porter Jr.,2pt,Less Than 6 Ft,2,2
1,22400251,4,Kevin Porter Jr.,3pt,Greater Than 15 Ft,0,2
1,22400251,4,Kyle Anderson,2pt,10-15 Ft,0,1
1,22400251,4,Kyle Anderson,2pt,Less Than 6 Ft,2,1
1,22400251,4,Kyle Anderson,3pt,Greater Than 15 Ft,1,1
1,22400251,4,Lindy Waters III,2pt,10-15 Ft,0,1
1,22400251,4,Lindy Waters III,2pt,Less Than 10 Ft,0,1
1,22400251,4,Lindy Waters III,2pt,Less Than 6 Ft,1,0
1,22400251,4,Lindy Waters III,3pt,Greater Than 15 Ft,3,2
1,22400251,4,Moses Moody,2pt,10-15 Ft,0,1
1,22400251,4,Moses Moody,2pt,Less Than 6 Ft,2,1
1,22400251,4,Moses Moody,3pt,Greater Than 15 Ft,4,3
1,22400251,4,Nicolas Batum,2pt,10-15 Ft,0,1
1,22400251,4,Nicolas Batum,2pt,Less Than 6 Ft,4,3
1,22400251,4,Nicolas Batum,3pt,Greater Than 15 Ft,0,2
1,22400251,4,Norman Powell,2pt,Less Than 10 Ft,0,1
1,22400251,4,Norman Powell,2pt,Less Than 6 Ft,3,1
1,22400251,4,Norman Powell,3pt,Greater Than 15 Ft,3,4
1,22400251,4,Stephen Curry,2pt,10-15 Ft,0,1
1,22400251,4,Stephen Curry,2pt,Less Than 10 Ft,0,1
1,22400251,4,Stephen Curry,2pt,Less Than 6 Ft,1,0
1,22400251,4,Stephen Curry,3pt,Greater Than 15 Ft,4,4
1,22400251,4,Terance Mann,2pt,10-15 Ft,0,1
1,22400251,4,Terance Mann,2pt,Less Than 10 Ft,0,1
1,22400251,4,Terance Mann,2pt,Less Than 6 Ft,7,4
1,22400251,4,Terance Mann,3pt,Greater Than 15 Ft,3,6
